Abonnement	Subscripton
Pressgruppe	Pressure group, lobby group
Privat avtale om bidrag	Private support agreement
Private utleiebyrå (vikarbyrå)	Private temporary staffing agencies
Produktivitetstiltak	Productivity-enhancing measures
Prognose	Forecast
Programmere	Program
Prosent	Per cent
Prosentpoeng	Percentage point
Protese	Prosthtic
Protokoll	Protocol
Prøveperiode	Trial period
Publikum	Public, general public
Pågripelse	Arrest
Påklage	Appeal against
Pålagt overtidsarbeid	Compulsory overtime
Pålegge	Order
Påleggstrekk	Attachment of earnings
Påminnelse	Reminder
Tannlege	Dentist
Tap av rettighet	Loss of rights
Tariff	Tariff
Tariffavtale	Collective agreement
Tariffbestemmelser	Provisions of a collective agreement
Tarifflønn	Standard pay
Tariffperiode	Term of a cellective agreement
Taushetsplikt	Bound by confidentiality, duty of confidentiality, professional secrecy
Teknisk utdannelse 	Technical education
Tekst-tv tjenester	Teletext services
Telefonnummer	Telephone number
Teoretisk opplæring	Theoretical training
Termin (svangerskap)	estimated date of delivery, due date
Tidsbegrenset lønnstilskudd	Time-limited wage subsidies
Tidsbegrenset uføretrygd 	Time-limited disability pension
Tidsrom	Period
Tilbakebetaling	Repayment, pay back
Tilbakebetalingserklæring	Repayment declaration
Tildele	Assign, grant, award
Tilgang på ledige stillinger	Number of vacancies
Tillegg	Supplement
Tilleggsstønader	Supplemental benefits
Tilleggsbidrag	Supplementary support
Tilleggspensjon	Supplementary pension
Tilleggsskatt 	Surtax
Tiltakspenger 	Employment scheme benefits
Tilsettingsforhold	Terms and conditions of employment
Tilskudd til flytting 	lump-sum grant for relocation expenses (i løpende tekst) relocation grant (overskrifter osv.)
Tilskudd til opplæring 	Training grant
Tilsyn med barn 	Child care
Tilsynsutgifter	Child-care costs
Tiltak	Measures, schemes
Tiltak med lønn	Measures med lønn
Tiltaksbudsjett	Budgets for labour  marked measures
Tiltakspenger 	Benefits while participating in employment schemes
Tiltre en post eller stilling 	Take up a post
Timeliste	Time sheet
Tingretten	District Court
Tjenestepensjon	Occupational pension, workplace pension, company pension
Tjenestevei	Through official channels
Tjenesteår	Years of service
Tolketjeneste	Interpreting service
Tollpliktig 	Dutiable, subject to duty
Topplønn	Maximum salary
Total arbeidstid	Total working hours
Trafikkbestemmelser	Traffic regulations
Trangt arbeidsmarked	Tight labour marked
Trekkoppgave	End of year certificate
Trygd	Social security
Trygdeavgift	National Insurance Contributions
Trygdeavtale	Social security agreement
Trygdekontor	Social security office
Trygderetten	National Insurance Court
Trygdetid	Period of national insurance
Tungt arbeide	Heavy work
Turnusarbeid (faste skift)	Fixed shifts
Turnusarbeid (skiftende turnus)	Rotating shift work
Yrke	Trade, vocation, occupation, profession
Yrke med gode fremtidsutsikter	Profession with good prospects
Yrkesaktivitet	Occupational activity
Yrkesdeltakelse	Labour force participation
Yrkeserfaring	Vocational experience, professional experience
Yrkesklassifisering	Occupation classification
Yrkeskode	Occupation code
Yrkesmessig	Occupation, vocotional, professional
Yrkesmobilitet	Occupation mobility
Yrkesskade 	Occupational injury and illness
Yrkesskadetrygd 	Occupation inhury benefit
Yrkesskole	Vocotional school
Yrkesveiledning	Vocotional guidance, careers advice
Ytelse	Benefit
Arbeids- og velferdsetaten (NAV)	The Norwegian Labour and Welfare administration
Arbeids- og velferdsdirektoratet	Directorate of Labour and Welfare
Arbeids- og tjenestelinjen	Labour and Service Department
NAV Fylke	NAV County
NAV-kontor	NAV-office
NAV Kontaktsenter	NAV Call and Service Centre
NAV Hjelpemidler og tilrettelegging	NAV Assistive Technology and Adaptions
NAV Arbeidslivssenter	NAV Work Centre
NAV Arbeid og ytelser	NAV Work and Benefits
NAV Familie- og pensjonsytelser	NAV Family Benefits and Pensions
NAV Kontroll	NAV Control
NAV Klageinstans	NAV Appeals
Økonomilinjen	Accounting Department
NAV Økonomi pensjon	NAV Accounting Pensions
NAV Økonomi stønad	NAV Accounting Benefits
NAV Økonomiteneste	NAV Accounting-services
Avdeling	Department
Seksjon	Section
Enhet	Unit
arbeids- og velferdsdirektør	Director General (of the Norwegian Labour and Welfare Service)
avdelingsdirektør	Director of <navn på avdelingen>, Head of <navn på avdelingen>
fylkesdirektør	NAV County Manager / NAV County Director
NAV-leder	NAV Local Manager
seksjonssjef	Head of Section <navn på seksjon>
kontorsjef	Principal Officer
saksbehandler	Executive officer, Officer in charge of case
veileder	Advisor
prosjektleder	Project manager
